CONTRACT_ID,COUNTERPARTY_ID,COUNTERPARTY_TYPE,COUNTRY_CODE,INTERNAL_RATING,SECTOR_CODE,PRODUCT_TYPE,ASSET_CLASS,ORIGINAL_AMOUNT,OUTSTANDING_BALANCE,RESIDUAL_VALUE,PROVISION_AMOUNT,MATURITY_DATE,STATUS,COLLATERAL_TYPE,COLLATERAL_VALUE,HAIRCUT_PCT,ELIGIBLE_FLAG,SEGMENT_CODE,PD_VALUE,LGD_VALUE,EAD_VALUE,RISK_WEIGHT,RWA_VALUE,CAPITAL_REQUIREMENT,CALCULATION_DATE,CALC_STATUS
61,293,CORPORATE,ESP,A,J,FINANCE_LEASE,LCV,1678220.44,1152740.75,0.0,14421.25,2027-07-04,ACTIVE,VEHICLE,1148971.33,0.2,1,CORPORATE,0.001,0.1,1138319.5,1.0,1138319.5,91065.56,2026-05-11,VALID
62,272,RETAIL,ESP,BB,A,OPERATING_LEASE,LCV,11384.88,9821.69,1291.41,149.63,2028-03-30,ACTIVE,VEHICLE,7140.05,0.2,1,RETAIL,0.01,0.167647697307513,10963.470000000001,0.75,8222.6,657.81,2026-05-11,VALID
63,996,SME,FRA,BBB,H,OPERATING_LEASE,LCV,204554.62,106268.81,13723.87,1896.34,2028-10-19,ACTIVE,VEHICLE,72279.7,0.2,1,SME_RETAIL,0.0025,0.1786287619074393,118096.34,0.75,88572.26,7085.78,2026-05-11,VALID
64,695,CORPORATE,ITA,BBB,C,OPERATING_LEASE,PASSENGER_CAR,516407.59,468327.64,66799.01,8839.24,2026-08-25,ACTIVE,VEHICLE,324594.9,0.2,1,CORPORATE,0.0025,0.17730620137768446,526287.41,1.0,526287.41,42102.99,2026-05-11,VALID
65,862,SME,FRA,AA,K,OPERATING_LEASE,LCV,53652.08,23836.84,10906.52,173.89,2025-10-08,ACTIVE,NONE,0.0,0.0,0,SME_RETAIL,0.0005,0.45,34569.47,0.75,25927.1,2074.17,2026-05-11,VALID
66,560,SME,DEU,AA,J,OPERATING_LEASE,TRUCK,60835.01,49994.84,8809.95,942.94,2030-03-23,ACTIVE,VEHICLE,25129.01,0.2,1,SME_RETAIL,0.0005,0.22839789429477275,57861.84999999999,0.75,43396.39,3471.71,2026-05-11,VALID
67,509,SME,ESP,A,L,OPERATING_LEASE,PASSENGER_CAR,269101.59,200826.1,66045.49,3515.78,2029-04-15,ACTIVE,REAL_ESTATE,227521.21,0.1,1,SME_RETAIL,0.001,0.1,263355.81,0.75,197516.86,15801.35,2026-05-11,VALID
68,1000,RETAIL,FRA,BBB,J,OPERATING_LEASE,EQUIPMENT,25227.09,3269.09,5580.87,20.64,2026-01-29,ACTIVE,VEHICLE,2105.77,0.2,1,RETAIL,0.0025,0.28322072367973977,8829.32,0.75,6621.99,529.76,2026-05-11,VALID
69,12,CORPORATE,BEL,A,G,OPERATING_LEASE,TRUCK,1820616.7,1586462.31,379035.6,11738.12,2029-07-16,ACTIVE,VEHICLE,1744611.46,0.2,1,CORPORATE,0.001,0.1,1953759.79,1.0,1953759.79,156300.78,2026-05-11,VALID
70,653,SME,FRA,BB,L,FINANCE_LEASE,EQUIPMENT,23280.14,20239.4,0.0,67.97,2028-01-31,ACTIVE,VEHICLE,10914.46,0.2,1,SME_RETAIL,0.01,0.19849617503568168,20171.43,0.75,15128.57,1210.29,2026-05-11,VALID
71,557,RETAIL,DEU,D,K,OPERATING_LEASE,TRUCK,7162.66,2623.5,1190.61,874.88,2027-09-29,DEFAULT,VEHICLE,1824.43,0.2,1,DEFAULTED,1.0,0.17619924265879156,2939.2299999999996,1.5,4408.84,352.71,2026-05-11,VALID
72,1170,RETAIL,DEU,BBB,M,OPERATING_LEASE,PASSENGER_CAR,43521.65,33254.67,10019.99,352.15,2026-08-25,ACTIVE,REAL_ESTATE,29275.7,0.1,1,RETAIL,0.0025,0.13515129939977877,42922.509999999995,0.75,32191.88,2575.35,2026-05-11,VALID
73,1093,RETAIL,ITA,BB,I,OPERATING_LEASE,LCV,13170.0,3321.13,2212.22,13.67,2024-05-11,ACTIVE,VEHICLE,1996.4,0.2,1,RETAIL,0.01,0.24872746246159197,5519.68,0.75,4139.76,331.18,2026-05-11,VALID
74,639,SME,ITA,BB,M,FINANCE_LEASE,PASSENGER_CAR,55656.58,4305.25,0.0,69.69,2028-01-19,ACTIVE,NONE,0.0,0.0,0,SME_RETAIL,0.01,0.45,4235.56,0.75,3176.67,254.13,2026-05-11,VALID
75,395,RETAIL,ITA,BBB,C,FINANCE_LEASE,TRUCK,25349.69,6011.51,0.0,102.24,2030-02-27,ACTIVE,VEHICLE,5368.69,0.2,1,RETAIL,0.0025,0.1,5909.27,0.75,4431.95,354.56,2026-05-11,VALID
76,354,SME,FRA,BB,C,FINANCE_LEASE,PASSENGER_CAR,220881.93,107257.85,0.0,1372.19,2027-04-22,ACTIVE,REAL_ESTATE,114217.1,0.1,1,SME_RETAIL,0.01,0.1,105885.66,0.75,79414.24,6353.14,2026-05-11,VALID
77,317,RETAIL,ITA,BB,M,FINANCE_LEASE,TRUCK,25317.89,2582.19,0.0,20.37,2026-11-24,ACTIVE,VEHICLE,1793.07,0.2,1,RETAIL,0.01,0.15402229664847644,2561.82,0.75,1921.37,153.71,2026-05-11,VALID
78,411,SME,ESP,AAA,L,OPERATING_LEASE,PASSENGER_CAR,66156.69,12834.77,13772.54,56.48,2029-01-22,ACTIVE,REAL_ESTATE,8125.16,0.1,1,SME_RETAIL,0.0003,0.2536028101569706,26550.83,0.75,19913.12,1593.05,2026-05-11,VALID
79,1141,RETAIL,DEU,BB,G,FINANCE_LEASE,PASSENGER_CAR,13690.16,12394.99,0.0,189.98,2027-12-30,ACTIVE,VEHICLE,13549.95,0.2,1,RETAIL,0.01,0.1,12205.01,0.75,9153.76,732.3,2026-05-11,VALID
80,68,RETAIL,FRA,AAA,H,OPERATING_LEASE,PASSENGER_CAR,11253.09,5564.17,1459.99,85.74,2025-06-19,ACTIVE,VEHICLE,3641.98,0.2,1,RETAIL,0.0003,0.20302786513356064,6938.42,0.75,5203.82,416.31,2026-05-11,VALID
82,810,CORPORATE,ITA,B,K,OPERATING_LEASE,PASSENGER_CAR,495024.47,116806.21,41591.24,1735.12,2030-12-13,ACTIVE,VEHICLE,118951.35,0.2,1,CORPORATE,0.05,0.1374002129292983,156662.33000000002,1.0,156662.33,12532.99,2026-05-11,VALID
83,336,SME,DEU,AA,G,OPERATING_LEASE,PASSENGER_CAR,63005.86,8169.94,9140.28,32.65,2028-01-14,ACTIVE,VEHICLE,5420.53,0.2,1,SME_RETAIL,0.0005,0.2621549847576945,17277.57,0.75,12958.18,1036.65,2026-05-11,VALID
84,1247,SME,BEL,A,F,FINANCE_LEASE,PASSENGER_CAR,88895.65,66893.38,0.0,708.49,2028-03-21,ACTIVE,VEHICLE,64110.09,0.2,1,SME_RETAIL,0.001,0.1,66184.89,0.75,49638.67,3971.09,2026-05-11,VALID
85,1129,SME,ITA,A,F,FINANCE_LEASE,PASSENGER_CAR,212619.06,77382.8,0.0,5289.51,2025-06-11,WATCHLIST,VEHICLE,90478.49,0.2,1,SME_RETAIL,0.001,0.1,72093.29000000001,0.75,54069.97,4325.6,2026-05-11,VALID
86,1154,RETAIL,DEU,BB,H,FINANCE_LEASE,EQUIPMENT,14618.26,6780.3,0.0,134.47,2027-07-02,ACTIVE,VEHICLE,5944.49,0.2,1,RETAIL,0.01,0.1,6645.83,0.75,4984.37,398.75,2026-05-11,VALID
87,686,RETAIL,FRA,A,F,OPERATING_LEASE,PASSENGER_CAR,23003.83,21690.68,3621.14,184.08,2028-03-26,ACTIVE,VEHICLE,14948.64,0.2,1,RETAIL,0.001,0.18342635668786764,25127.739999999998,0.75,18845.8,1507.66,2026-05-11,VALID
88,657,CORPORATE,FRA,AA,L,OPERATING_LEASE,PASSENGER_CAR,893040.06,299059.04,93811.6,1229.8,2026-01-17,ACTIVE,NONE,0.0,0.0,0,CORPORATE,0.0005,0.45,391640.83999999997,1.0,391640.84,31331.27,2026-05-11,VALID
89,639,SME,ITA,BB,M,OPERATING_LEASE,PASSENGER_CAR,183797.57,87456.62,10054.15,343.05,2029-06-01,ACTIVE,VEHICLE,99831.61,0.2,1,SME_RETAIL,0.01,0.1,97167.71999999999,0.75,72875.79,5830.06,2026-05-11,VALID
90,295,CORPORATE,DEU,B,C,OPERATING_LEASE,PASSENGER_CAR,855001.13,531238.02,79621.8,10578.1,2026-05-02,ACTIVE,VEHICLE,497838.66,0.2,1,CORPORATE,0.05,0.11778432499993506,600281.7200000001,1.0,600281.72,48022.54,2026-05-11,VALID
91,851,RETAIL,DEU,AA,C,OPERATING_LEASE,PASSENGER_CAR,8299.5,1080.28,1748.12,21.59,2025-08-07,ACTIVE,GUARANTEE,1108.11,0.15,1,RETAIL,0.0005,0.23254897018323292,2806.81,0.75,2105.11,168.41,2026-05-11,VALID
92,1296,RETAIL,DEU,BBB,H,OPERATING_LEASE,PASSENGER_CAR,7287.02,5062.94,769.6,80.97,2025-06-25,ACTIVE,VEHICLE,5196.56,0.2,1,RETAIL,0.0025,0.1,5751.57,0.75,4313.68,345.09,2026-05-11,VALID
93,385,RETAIL,FRA,BBB,H,FINANCE_LEASE,PASSENGER_CAR,36546.0,16685.37,0.0,160.35,2025-06-30,ACTIVE,VEHICLE,13541.41,0.2,1,RETAIL,0.0025,0.12055429887528123,16525.02,0.75,12393.76,991.5,2026-05-11,VALID
94,86,RETAIL,FRA,CCC,M,OPERATING_LEASE,PASSENGER_CAR,9651.73,2002.86,1302.88,26.67,2027-01-16,ACTIVE,VEHICLE,1373.2,0.2,1,RETAIL,0.15,0.2327423629260735,3279.0699999999997,0.75,2459.3,196.74,2026-05-11,VALID
95,848,SME,ITA,B,L,FINANCE_LEASE,PASSENGER_CAR,80829.19,35361.77,0.0,496.43,2025-12-11,ACTIVE,REAL_ESTATE,19330.94,0.1,1,SME_RETAIL,0.05,0.17534958500332992,34865.34,0.75,26149.0,2091.92,2026-05-11,VALID
96,599,CORPORATE,NLD,A,I,FINANCE_LEASE,TRUCK,296379.65,137698.3,0.0,359.04,2030-04-17,ACTIVE,VEHICLE,73423.77,0.2,1,CORPORATE,0.001,0.20030751148651882,137339.25999999998,1.0,137339.26,10987.14,2026-05-11,VALID
98,1285,CORPORATE,BEL,A,I,OPERATING_LEASE,LCV,332983.54,297494.3,54733.06,2344.44,2029-05-21,ACTIVE,VEHICLE,198532.43,0.2,1,CORPORATE,0.001,0.1911209086742502,349882.92,1.0,349882.92,27990.63,2026-05-11,VALID
